Actions,WIID,Description,Type,Status,Date
,82822369,Process Vendor Invoice,WI3,Open,2017-03-14
,82822387,Research Client Check Copy,WI2,Open,2017-03-02
,82822407,Research Client Check Copy,WI2,Open,2021-07-21
,82822453,Verify Account Position,WI1,Open,2020-09-13
,82822427,Verify Account Position,WI1,Open,2021-06-25
,82822438,Verify Account Position,WI1,Open,2019-02-18
,82822374,Research Client Check Copy,WI2,Open,2021-02-19
,82822350,Generate Yearly Report for Vendor,WI4,Open,2019-01-24
,82822404,Research Client Check Copy,WI2,Open,2018-02-15
,82822341,Calculate Client Security Hash,WI5,Open,2019-05-09
,82822403,Research Client Check Copy,WI2,Open,2019-10-13
,82822449,Verify Account Position,WI1,Open,2019-10-06
,82822330,Calculate Client Security Hash,WI5,Open,2018-05-07
,82822378,Research Client Check Copy,WI2,Open,2018-06-20
,82822390,Research Client Check Copy,WI2,Open,2017-06-19
,82822384,Research Client Check Copy,WI2,Open,2018-11-01
,82822352,Generate Yearly Report for Vendor,WI4,Open,2017-11-16
,82822339,Calculate Client Security Hash,WI5,Open,2021-01-13
,82822389,Research Client Check Copy,WI2,Open,2021-03-18
,82822386,Research Client Check Copy,WI2,Open,2017-03-23
,82822351,Generate Yearly Report for Vendor,WI4,Open,2018-08-23
,82822423,Verify Account Position,WI1,Open,2018-09-25
,82822410,Research Client Check Copy,WI2,Open,2019-07-17
,82822377,Research Client Check Copy,WI2,Open,2020-10-02
,82822437,Verify Account Position,WI1,Open,2020-08-01
,82822418,Research Client Check Copy,WI2,Open,2018-09-12
,82822402,Research Client Check Copy,WI2,Open,2019-06-17
,82822368,Process Vendor Invoice,WI3,Open,2019-03-08
,82822371,Research Client Check Copy,WI2,Open,2017-07-26
,82822359,Process Vendor Invoice,WI3,Open,2019-10-08
